日期,上轨,中轴10,下轨
2018-03-23,8.921,7.853,6.785
2018-03-30,8.568,7.726,6.884
2018-04-04,8.153,7.588,7.023
2018-04-13,8.149,7.545,6.941
2018-04-20,8.209,7.517,6.825
2018-04-27,8.201,7.492,6.783
2018-05-04,8.174,7.46,6.746
2018-05-11,8.119,7.435,6.751
2018-05-18,7.983,7.386,6.789
2018-05-25,7.684,7.313,6.942
2018-06-01,7.696,7.294,6.892
2018-06-08,7.613,7.246,6.879
2018-06-15,7.598,7.232,6.866
2018-06-22,7.813,7.139,6.465
2018-06-29,7.879,7.095,6.311
2018-07-06,7.97,6.972,5.974
2018-07-13,7.933,6.864,5.795
2018-07-20,7.771,6.726,5.681
2018-07-27,7.561,6.611,5.661
2018-08-03,7.387,6.448,5.509
2018-08-10,7.255,6.313,5.371
2018-08-17,7.124,6.121,5.118
2018-08-24,6.833,5.904,4.975
2018-08-31,6.846,5.757,4.668
2018-09-07,6.717,5.592,4.467
2018-09-14,6.615,5.507,4.399
2018-09-21,6.419,5.397,4.375
2018-09-28,6.193,5.297,4.401
